Entity,Code,Year,Diabetes prevalence (% of population ages 20 to 79)
Afghanistan,AFG,2011,7.599999904632568
Afghanistan,AFG,2021,10.899999618530273
Albania,ALB,2011,2.799999952316284
Albania,ALB,2021,10.199999809265137
Algeria,DZA,2011,7
Algeria,DZA,2021,7.099999904632568
American Samoa,ASM,2021,20.299999237060547
Andorra,AND,2011,5.400000095367432
Andorra,AND,2021,9.699999809265137
Angola,AGO,2011,2.9000000953674316
Angola,AGO,2021,4.599999904632568
Antigua and Barbuda,ATG,2011,12.5
Antigua and Barbuda,ATG,2021,11.699999809265137
Argentina,ARG,2011,5.5
Argentina,ARG,2021,5.400000095367432
Armenia,ARM,2011,8.5
Armenia,ARM,2021,5.599999904632568
Aruba,ABW,2000,12.100000381469727
Aruba,ABW,2011,12.399999618530273
Aruba,ABW,2021,4.300000190734863
Australia,AUS,2000,0
Australia,AUS,2011,6.599999904632568
Australia,AUS,2021,6.400000095367432
Austria,AUT,2011,6.599999904632568
Austria,AUT,2021,4.599999904632568
Azerbaijan,AZE,2011,2.799999952316284
Azerbaijan,AZE,2021,5.599999904632568
Bahamas,BHS,2011,12.100000381469727
Bahamas,BHS,2021,8.800000190734863
Bahrain,BHR,2000,14.800000190734863
Bahrain,BHR,2011,19.5
Bahrain,BHR,2021,11.300000190734863
Bangladesh,BGD,2011,10.5
Bangladesh,BGD,2021,14.199999809265137
Barbados,BRB,2000,13.199999809265137
Barbados,BRB,2011,12.399999618530273
Barbados,BRB,2021,14
Belarus,BLR,2011,8
Belarus,BLR,2021,5.599999904632568
Belgium,BEL,2011,4.800000190734863
Belgium,BEL,2021,3.5999999046325684
Belize,BLZ,2011,17
Belize,BLZ,2021,14.5
Benin,BEN,2011,2
Benin,BEN,2021,1.100000023841858
Bermuda,BMU,2000,12.100000381469727
Bermuda,BMU,2011,12
Bermuda,BMU,2021,13
Bhutan,BTN,2011,5.699999809265137
Bhutan,BTN,2021,10.399999618530273
Bolivia,BOL,2011,6.599999904632568
Bolivia,BOL,2021,5.5
Bosnia and Herzegovina,BIH,2011,7.5
Bosnia and Herzegovina,BIH,2021,9.100000381469727
Botswana,BWA,2011,10.800000190734863
Botswana,BWA,2021,5.199999809265137
Brazil,BRA,2011,10.100000381469727
Brazil,BRA,2021,8.800000190734863
British Virgin Islands,VGB,2000,12.100000381469727
British Virgin Islands,VGB,2011,8.600000381469727
British Virgin Islands,VGB,2021,8.699999809265137
Brunei,BRN,2011,9.399999618530273
Brunei,BRN,2021,11.100000381469727
Bulgaria,BGR,2011,6.699999809265137
Bulgaria,BGR,2021,7.400000095367432
Burkina Faso,BFA,2011,3
Burkina Faso,BFA,2021,2.0999999046325684
Burundi,BDI,2011,2.700000047683716
Burundi,BDI,2021,6.5
Cambodia,KHM,2011,2.9000000953674316
Cambodia,KHM,2021,7.300000190734863
Cameroon,CMR,2000,0
Cameroon,CMR,2011,6.099999904632568
Cameroon,CMR,2021,5.5
Canada,CAN,2011,8.399999618530273
Canada,CAN,2021,7.699999809265137
Cape Verde,CPV,2011,5.400000095367432
Cape Verde,CPV,2021,2.0999999046325684
Cayman Islands,CYM,2000,12.100000381469727
Cayman Islands,CYM,2011,12
Cayman Islands,CYM,2021,13
Central African Republic,CAF,2011,3.200000047683716
Central African Republic,CAF,2021,5.800000190734863
Chad,TCD,2011,3.9000000953674316
Chad,TCD,2021,5.800000190734863
Channel Islands,OWID_CIS,2011,4.900000095367432
Channel Islands,OWID_CIS,2021,6.300000190734863
Chile,CHL,2011,9.5
Chile,CHL,2021,10.800000190734863
China,CHN,2011,8.800000190734863
China,CHN,2021,10.600000381469727
Colombia,COL,2011,9.800000190734863
Colombia,COL,2021,8.300000190734863
Comoros,COM,2011,8.399999618530273
Comoros,COM,2021,11.699999809265137
Congo,COG,2011,5.5
Congo,COG,2021,5.5
Costa Rica,CRI,2011,9.600000381469727
Costa Rica,CRI,2021,8.800000190734863
Cote d'Ivoire,CIV,2011,4.900000095367432
Cote d'Ivoire,CIV,2021,2.0999999046325684
Croatia,HRV,2011,5.199999809265137
Croatia,HRV,2021,4.800000190734863
Cuba,CUB,2011,9.399999618530273
Cuba,CUB,2021,7.599999904632568
Curacao,CUW,2021,11.699999809265137
Cyprus,CYP,2011,9.300000190734863
Cyprus,CYP,2021,8.600000381469727
Czechia,CZE,2000,11.699999809265137
Czechia,CZE,2011,5.300000190734863
Czechia,CZE,2021,7.099999904632568
Democratic Republic of Congo,COD,2011,3.0999999046325684
Democratic Republic of Congo,COD,2021,5.800000190734863
Denmark,DNK,2011,5.599999904632568
Denmark,DNK,2021,5.300000190734863
Djibouti,DJI,2011,6.300000190734863
Djibouti,DJI,2021,7.400000095367432
Dominica,DMA,2011,8.899999618530273
Dominica,DMA,2021,11.699999809265137
Dominican Republic,DOM,2011,8.100000381469727
Dominican Republic,DOM,2021,10.5
East Asia and Pacific,,2011,8.028499603271484
East Asia and Pacific,,2021,9.8634614944458
Ecuador,ECU,2011,6.599999904632568
Ecuador,ECU,2021,4.400000095367432
Egypt,EGY,2011,16.600000381469727
Egypt,EGY,2021,20.899999618530273
El Salvador,SLV,2011,9.399999618530273
El Salvador,SLV,2021,6.300000190734863
Equatorial Guinea,GNQ,2011,4.199999809265137
Equatorial Guinea,GNQ,2021,5.5
Eritrea,ERI,2011,3.5999999046325684
Eritrea,ERI,2021,6.5
Estonia,EST,2011,7
Estonia,EST,2021,6.5
Eswatini,SWZ,2011,3.0999999046325684
Eswatini,SWZ,2021,4.599999904632568
Ethiopia,ETH,2011,3.4000000953674316
Ethiopia,ETH,2021,5
Europe and Central Asia,,2011,6.547325134277344
Europe and Central Asia,,2021,7.041573524475098
European Union,,2011,6.018697738647461
European Union,,2021,6.607043266296387
Faeroe Islands,FRO,2021,3.799999952316284
Fiji,FJI,2011,10.899999618530273
Fiji,FJI,2021,17.700000762939453
Finland,FIN,2011,5.800000190734863
Finland,FIN,2021,6.099999904632568
France,FRA,2011,5.400000095367432
France,FRA,2021,5.300000190734863
French Polynesia,PYF,2011,8.600000381469727
French Polynesia,PYF,2021,25.200000762939453
Gabon,GAB,2011,10.300000190734863
Gabon,GAB,2021,5.5
Gambia,GMB,2011,2
Gambia,GMB,2021,1.899999976158142
Georgia,GEO,2011,2.799999952316284
Georgia,GEO,2021,5.699999809265137
Germany,DEU,2011,5.300000190734863
Germany,DEU,2021,6.900000095367432
Ghana,GHA,2011,5
Ghana,GHA,2021,2.5999999046325684
Greece,GRC,2011,5.099999904632568
Greece,GRC,2021,6.400000095367432
Greenland,GRL,2021,3.299999952316284
Grenada,GRD,2000,12.100000381469727
Grenada,GRD,2011,8.600000381469727
Grenada,GRD,2021,12.600000381469727
Guam,GUM,2011,8.600000381469727
Guam,GUM,2021,19.100000381469727
Guatemala,GTM,2011,9.300000190734863
Guatemala,GTM,2021,13.100000381469727
Guinea,GIN,2011,4.400000095367432
Guinea,GIN,2021,2.0999999046325684
Guinea-Bissau,GNB,2011,3
Guinea-Bissau,GNB,2021,2.0999999046325684
Guyana,GUY,2011,16.700000762939453
Guyana,GUY,2021,11.699999809265137
Haiti,HTI,2011,6.599999904632568
Haiti,HTI,2021,8.899999618530273
High income,,2011,7.805734634399414
High income,,2021,8.43070125579834
Honduras,HND,2011,6.699999809265137
Honduras,HND,2021,5.099999904632568
Hong Kong,HKG,2000,12.100000381469727
Hong Kong,HKG,2011,7.599999904632568
Hong Kong,HKG,2021,7.800000190734863
Hungary,HUN,2011,6
Hungary,HUN,2021,7
Iceland,ISL,2011,3.200000047683716
Iceland,ISL,2021,5.5
India,IND,2011,9
India,IND,2021,9.600000381469727
Indonesia,IDN,2011,5.099999904632568
Indonesia,IDN,2021,10.600000381469727
Iran,IRN,2011,11.100000381469727
Iran,IRN,2021,9.100000381469727
Iraq,IRQ,2011,9.100000381469727
Iraq,IRQ,2021,10.699999809265137
Ireland,IRL,2011,5.199999809265137
Ireland,IRL,2021,3
Isle of Man,IMN,2021,6.300000190734863
Israel,ISR,2011,7.400000095367432
Israel,ISR,2021,8.5
Italy,ITA,2011,5.099999904632568
Italy,ITA,2021,6.400000095367432
Jamaica,JAM,2011,15.699999809265137
Jamaica,JAM,2021,11.100000381469727
Japan,JPN,2011,7.699999809265137
Japan,JPN,2021,6.599999904632568
Jordan,JOR,2011,12.100000381469727
Jordan,JOR,2021,15.399999618530273
Kazakhstan,KAZ,2011,7.699999809265137
Kazakhstan,KAZ,2021,6.599999904632568
Kenya,KEN,2011,5.099999904632568
Kenya,KEN,2021,4
Kiribati,KIR,2011,25.299999237060547
Kiribati,KIR,2021,22.100000381469727
Kuwait,KWT,2011,20.700000762939453
Kuwait,KWT,2021,24.899999618530273
Kyrgyzstan,KGZ,2011,6.300000190734863
Kyrgyzstan,KGZ,2021,6.599999904632568
Laos,LAO,2011,3.299999952316284
Laos,LAO,2021,6.199999809265137
Latin America and Caribbean,,2011,10.283793449401855
Latin America and Caribbean,,2021,9.893173217773438
Latvia,LVA,2011,7.800000190734863
Latvia,LVA,2021,5.900000095367432
Lebanon,LBN,2011,19.600000381469727
Lebanon,LBN,2021,8
Lesotho,LSO,2011,3.4000000953674316
Lesotho,LSO,2021,4.599999904632568
Liberia,LBR,2011,3.299999952316284
Liberia,LBR,2021,2.0999999046325684
Libya,LBY,2011,13.800000190734863
Libya,LBY,2021,8.699999809265137
Liechtenstein,LIE,2011,4.699999809265137
Liechtenstein,LIE,2021,6.099999904632568
Lithuania,LTU,2011,7.800000190734863
Lithuania,LTU,2021,5.800000190734863
Low and middle income,,2011,8.22761344909668
Low and middle income,,2021,10.096136093139648
Low income,,2011,4.937906742095947
Low income,,2021,6.669588088989258
Lower middle income,,2011,7.903477191925049
Lower middle income,,2021,10.527297973632812
Luxembourg,LUX,2011,4.5
Luxembourg,LUX,2021,5.900000095367432
Macao,MAC,2011,7.199999809265137
Macao,MAC,2021,7.800000190734863
Madagascar,MDG,2011,4.699999809265137
Madagascar,MDG,2021,4.599999904632568
Malawi,MWI,2011,5.599999904632568
Malawi,MWI,2021,7.300000190734863
Malaysia,MYS,2011,12.100000381469727
Malaysia,MYS,2021,19
Maldives,MDV,2011,9.199999809265137
Maldives,MDV,2021,9.199999809265137
Mali,MLI,2011,1.899999976158142
Mali,MLI,2021,2.0999999046325684
Malta,MLT,2011,6.599999904632568
Malta,MLT,2021,8
Marshall Islands,MHL,2011,21.799999237060547
Marshall Islands,MHL,2021,23
Mauritania,MRT,2011,4.300000190734863
Mauritania,MRT,2021,2.0999999046325684
Mauritius,MUS,2000,15
Mauritius,MUS,2011,14.800000190734863
Mauritius,MUS,2021,22.600000381469727
Mexico,MEX,2000,14.199999809265137
Mexico,MEX,2011,15.600000381469727
Mexico,MEX,2021,16.899999618530273
Micronesia (country),FSM,2011,15.699999809265137
Micronesia (country),FSM,2021,15.600000381469727
Middle East and North Africa,,2011,12.243509292602539
Middle East and North Africa,,2021,12.873639106750488
Middle income,,2011,8.475311279296875
Middle income,,2021,10.406826972961426
Moldova,MDA,2011,2.700000047683716
Moldova,MDA,2021,5.599999904632568
Monaco,MCO,2011,5.599999904632568
Monaco,MCO,2021,6.199999809265137
Mongolia,MNG,2011,7.099999904632568
Mongolia,MNG,2021,6.900000095367432
Montenegro,MNE,2011,7.699999809265137
Montenegro,MNE,2021,9.100000381469727
Morocco,MAR,2011,6.800000190734863
Morocco,MAR,2021,9.100000381469727
Mozambique,MOZ,2011,3.0999999046325684
Mozambique,MOZ,2021,3.299999952316284
Myanmar,MMR,2011,7.099999904632568
Myanmar,MMR,2021,7.099999904632568
Namibia,NAM,2011,7.800000190734863
Namibia,NAM,2021,6.699999809265137
Nauru,NRU,2011,20.399999618530273
Nauru,NRU,2021,23.399999618530273
Nepal,NPL,2011,3.5999999046325684
Nepal,NPL,2021,8.699999809265137
Netherlands,NLD,2011,5.300000190734863
Netherlands,NLD,2021,4.5
New Caledonia,NCL,2011,8.600000381469727
New Caledonia,NCL,2021,23.399999618530273
New Zealand,NZL,2011,8.600000381469727
New Zealand,NZL,2021,6.199999809265137
Nicaragua,NIC,2011,11
Nicaragua,NIC,2021,9.300000190734863
Niger,NER,2011,4.199999809265137
Niger,NER,2021,5.199999809265137
Nigeria,NGA,2011,4.800000190734863
Nigeria,NGA,2021,3.5999999046325684
North America,,2011,9.296712875366211
North America,,2021,10.382028579711914
North Korea,PRK,2011,8.399999618530273
North Korea,PRK,2021,8.600000381469727
North Macedonia,MKD,2011,7.699999809265137
North Macedonia,MKD,2021,6.099999904632568
Northern Mariana Islands,MNP,2021,23.399999618530273
Norway,NOR,2011,4.699999809265137
Norway,NOR,2021,3.5999999046325684
Oman,OMN,2011,10.5
Oman,OMN,2021,13.800000190734863
Pakistan,PAK,2000,11.800000190734863
Pakistan,PAK,2011,7.900000095367432
Pakistan,PAK,2021,30.799999237060547
Palau,PLW,2011,11.100000381469727
Palau,PLW,2021,17
Palestine,PSE,2011,9.199999809265137
Palestine,PSE,2021,9.199999809265137
Panama,PAN,2011,9.399999618530273
Panama,PAN,2021,8.199999809265137
Papua New Guinea,PNG,2000,15.5
Papua New Guinea,PNG,2011,7.599999904632568
Papua New Guinea,PNG,2021,16.700000762939453
Paraguay,PRY,2011,6.5
Paraguay,PRY,2021,7.5
Peru,PER,2011,6
Peru,PER,2021,4.800000190734863
Philippines,PHL,2011,9.699999809265137
Philippines,PHL,2021,7.099999904632568
Poland,POL,2011,9
Poland,POL,2021,6.800000190734863
Portugal,PRT,2011,9.600000381469727
Portugal,PRT,2021,9.100000381469727
Puerto Rico,PRI,2011,13
Puerto Rico,PRI,2021,13.300000190734863
Qatar,QAT,2011,19.799999237060547
Qatar,QAT,2021,19.5
Romania,ROU,2011,7.699999809265137
Romania,ROU,2021,6.5
Russia,RUS,2011,9.699999809265137
Russia,RUS,2021,5.599999904632568
Rwanda,RWA,2011,3.0999999046325684
Rwanda,RWA,2021,6.5
Saint Kitts and Nevis,KNA,2000,12.100000381469727
Saint Kitts and Nevis,KNA,2011,8.5
Saint Kitts and Nevis,KNA,2021,16.100000381469727
Saint Lucia,LCA,2011,8.399999618530273
Saint Lucia,LCA,2021,11.699999809265137
Saint Vincent and the Grenadines,VCT,2011,8.800000190734863
Saint Vincent and the Grenadines,VCT,2021,8
Samoa,WSM,2011,7.699999809265137
Samoa,WSM,2021,9.199999809265137
San Marino,SMR,2011,5.5
San Marino,SMR,2021,7.400000095367432
Sao Tome and Principe,STP,2011,5.5
Sao Tome and Principe,STP,2021,5.5
Saudi Arabia,SAU,2011,19.600000381469727
Saudi Arabia,SAU,2021,18.700000762939453
Senegal,SEN,2011,3.200000047683716
Senegal,SEN,2021,3.0999999046325684
Serbia,SRB,2011,7.699999809265137
Serbia,SRB,2021,9.100000381469727
Seychelles,SYC,2011,12.100000381469727
Seychelles,SYC,2021,8.5
Sierra Leone,SLE,2011,3.200000047683716
Sierra Leone,SLE,2021,2.0999999046325684
Singapore,SGP,2011,9.5
Singapore,SGP,2021,11.600000381469727
Slovakia,SVK,2011,5.699999809265137
Slovakia,SVK,2021,5.800000190734863
Slovenia,SVN,2011,7.5
Slovenia,SVN,2021,5.800000190734863
Solomon Islands,SLB,2011,15.300000190734863
Solomon Islands,SLB,2021,19.799999237060547
Somalia,SOM,2011,4.300000190734863
Somalia,SOM,2021,6.5
South Africa,ZAF,2011,7
South Africa,ZAF,2021,10.800000190734863
South Asia,,2011,8.900556564331055
South Asia,,2021,12.325596809387207
South Korea,KOR,2011,7.5
South Korea,KOR,2021,6.800000190734863
South Sudan,SSD,2021,6.5
Spain,ESP,2011,6.300000190734863
Spain,ESP,2021,10.300000190734863
Sri Lanka,LKA,2011,7.5
Sri Lanka,LKA,2021,11.300000190734863
Sub-Saharan Africa,,2011,4.525923252105713
Sub-Saharan Africa,,2021,5.8082170486450195
Sudan,SDN,2011,8.600000381469727
Sudan,SDN,2021,18.899999618530273
Suriname,SUR,2011,8.899999618530273
Suriname,SUR,2021,12.699999809265137
Sweden,SWE,2011,4.199999809265137
Sweden,SWE,2021,5
Switzerland,CHE,2011,5.900000095367432
Switzerland,CHE,2021,4.599999904632568
Syria,SYR,2011,9.899999618530273
Syria,SYR,2021,14.899999618530273
Tajikistan,TJK,2011,6.300000190734863
Tajikistan,TJK,2021,6.599999904632568
Tanzania,TZA,2011,2.799999952316284
Tanzania,TZA,2021,12.300000190734863
Thailand,THA,2011,7.5
Thailand,THA,2021,9.699999809265137
Timor,TLS,2011,7.5
Timor,TLS,2021,8.600000381469727
Togo,TGO,2011,3.299999952316284
Togo,TGO,2021,2.0999999046325684
Tonga,TON,2000,11.5
Tonga,TON,2011,12.699999809265137
Tonga,TON,2021,15
Trinidad and Tobago,TTO,2000,14.100000381469727
Trinidad and Tobago,TTO,2011,12.699999809265137
Trinidad and Tobago,TTO,2021,12.699999809265137
Tunisia,TUN,2011,9.5
Tunisia,TUN,2021,9.600000381469727
Turkey,TUR,2011,7.900000095367432
Turkey,TUR,2021,14.5
Turkmenistan,TKM,2011,2.700000047683716
Turkmenistan,TKM,2021,6.699999809265137
Tuvalu,TUV,2011,19.200000762939453
Tuvalu,TUV,2021,20.299999237060547
Uganda,UGA,2011,2.799999952316284
Uganda,UGA,2021,4.599999904632568
Ukraine,UKR,2011,2.9000000953674316
Ukraine,UKR,2021,5.599999904632568
United Arab Emirates,ARE,2011,18.799999237060547
United Arab Emirates,ARE,2021,16.399999618530273
United Kingdom,GBR,2011,5.199999809265137
United Kingdom,GBR,2021,6.300000190734863
United States,USA,2011,9.399999618530273
United States,USA,2021,10.699999809265137
United States Virgin Islands,VIR,2011,12.100000381469727
United States Virgin Islands,VIR,2021,12.399999618530273
Upper middle income,,2011,9.08443832397461
Upper middle income,,2021,10.265158653259277
Uruguay,URY,2011,5.699999809265137
Uruguay,URY,2021,9
Uzbekistan,UZB,2011,6.400000095367432
Uzbekistan,UZB,2021,7
Vanuatu,VUT,2011,16.100000381469727
Vanuatu,VUT,2021,15.600000381469727
Venezuela,VEN,2011,10.199999809265137
Venezuela,VEN,2021,9.600000381469727
Vietnam,VNM,2011,3.200000047683716
Vietnam,VNM,2021,6.099999904632568
World,OWID_WRL,2011,8.156354904174805
World,OWID_WRL,2021,9.803711891174316
Yemen,YEM,2011,9.600000381469727
Yemen,YEM,2021,5.400000095367432
Zambia,ZMB,2011,4.800000190734863
Zambia,ZMB,2021,11.899999618530273
Zimbabwe,ZWE,2011,9.800000190734863
Zimbabwe,ZWE,2021,2.0999999046325684